pcds,oslaua,lat,long,oa21,lsoa21,msoa21
NE1 1UN,E08000021,54.971132,-1.614505,E00175558,E01033543,E02007099
NE1 1UQ,E08000021,54.970787,-1.613321,E00175558,E01033543,E02007099
NE1 1UW,E08000021,54.971352,-1.613656,E00175558,E01033543,E02007099
NE1 1YE,E08000021,54.971243,-1.609864,E00175551,E01033543,E02007099
NE1 1YF,E08000021,54.970753,-1.611212,E00175551,E01033543,E02007099
NE1 2AB,E08000021,54.971703,-1.601846,E00042679,E01033553,E02007100
NE1 2AE,E08000021,54.971378,-1.604270,E00175593,E01033553,E02007100
NE1 2AF,E08000021,54.971196,-1.603710,E00175593,E01033553,E02007100
NE1 2AG,E08000021,54.972736,-1.590963,E00175560,E01033548,E02007100
NE1 2AJ,E08000021,54.973275,-1.591689,E00175556,E01008406,E02007100
NE1 2AN,E08000021,54.972231,-1.595795,E00042674,E01033548,E02007100
NE1 2AQ,E08000021,54.971900,-1.599811,E00175583,E01033548,E02007100
NE1 2AR,E08000021,54.974957,-1.591362,E00175556,E01008406,E02007100
NE1 2AS,E08000021,54.971577,-1.607455,E00175593,E01033553,E02007100
NE1 2AT,E08000021,54.973307,-1.597971,E00042677,E01033553,E02007100
NE1 2AU,E08000021,54.973307,-1.597971,E00042677,E01033553,E02007100
NE1 2AX,E08000021,54.973307,-1.597971,E00042677,E01033553,E02007100
NE1 2AY,E08000021,54.971480,-1.605253,E00189930,E01033553,E02007100
NE1 2AZ,E08000021,54.972770,-1.598414,E00175583,E01033548,E02007100
NE1 2BA,E08000021,54.972911,-1.592133,E00175557,E01008406,E02007100
NE1 2BE,E08000021,54.972432,-1.592135,E00175557,E01008406,E02007100
NE1 2BH,E08000021,54.971822,-1.597096,E00175583,E01033548,E02007100
NE1 2BJ,E08000021,54.971294,-1.592415,E00175580,E01033548,E02007100
NE1 2BL,E08000021,54.972608,-1.596242,E00042674,E01033548,E02007100
NE1 2BN,E08000021,54.972596,-1.592245,E00175557,E01008406,E02007100
NE1 2BW,E08000021,54.972244,-1.596920,E00175583,E01033548,E02007100
NE1 2BX,E08000021,54.974346,-1.596883,E00175556,E01008406,E02007100
NE1 2DB,E08000021,54.972631,-1.597338,E00175583,E01033548,E02007100
NE1 2DD,E08000021,54.972582,-1.593245,E00175560,E01033548,E02007100
NE1 2DF,E08000021,54.971956,-1.589578,E00175560,E01033548,E02007100
NE1 2DJ,E08000021,54.971451,-1.596537,E00175580,E01033548,E02007100
NE1 2DL,E08000021,54.975103,-1.600810,E00189996,E01008406,E02007100
NE1 2DN,E08000021,54.970522,-1.607119,E00189930,E01033553,E02007100
NE1 2DP,E08000021,54.970522,-1.607119,E00189930,E01033553,E02007100
NE1 2DQ,E08000021,54.972570,-1.590259,E00175560,E01033548,E02007100
NE1 2DR,E08000021,54.972606,-1.590290,E00175560,E01033548,E02007100
NE1 2DS,E08000021,54.970093,-1.607576,E00189930,E01033553,E02007100
NE1 2DZ,E08000021,54.972449,-1.593762,E00175560,E01033548,E02007100
NE1 2EQ,E08000021,54.970792,-1.606447,E00189930,E01033553,E02007100
NE1 2HF,E08000021,54.970518,-1.605138,E00189930,E01033553,E02007100
NE1 2HG,E08000021,54.971356,-1.606580,E00175593,E01033553,E02007100
NE1 2HH,E08000021,54.970541,-1.604448,E00189930,E01033553,E02007100
NE1 2HJ,E08000021,54.971047,-1.605286,E00189930,E01033553,E02007100
NE1 2HW,E08000021,54.971878,-1.603375,E00042679,E01033553,E02007100
NE1 2HY,E08000021,54.971322,-1.603630,E00175593,E01033553,E02007100
NE1 2JA,E08000021,54.972888,-1.604287,E00175593,E01033553,E02007100
NE1 2JB,E08000021,54.973156,-1.601050,E00189961,E01033553,E02007100
NE1 2JD,E08000021,54.972888,-1.604287,E00175593,E01033553,E02007100
NE1 2JE,E08000021,54.971302,-1.602896,E00042679,E01033553,E02007100
NE1 2JF,E08000021,54.971861,-1.604201,E00175593,E01033553,E02007100
NE1 2JG,E08000021,54.971861,-1.604201,E00175593,E01033553,E02007100
NE1 2JH,E08000021,54.972590,-1.601025,E00189961,E01033553,E02007100
NE1 2JJ,E08000021,54.972215,-1.601872,E00042679,E01033553,E02007100
NE1 2JQ,E08000021,54.972256,-1.604165,E00042679,E01033553,E02007100
NE1 2JR,E08000021,54.972455,-1.603869,E00042679,E01033553,E02007100
NE1 2JS,E08000021,54.971758,-1.605063,E00175593,E01033553,E02007100
NE1 2JW,E08000021,54.972459,-1.600102,E00175583,E01033548,E02007100
NE1 2JY,E08000021,54.972452,-1.600089,E00175583,E01033548,E02007100
NE1 2JZ,E08000021,54.972220,-1.600638,E00175583,E01033548,E02007100
NE1 2LA,E08000021,54.972262,-1.605324,E00175593,E01033553,E02007100
NE1 2LF,E08000021,54.972448,-1.599026,E00175583,E01033548,E02007100
NE1 2LG,E08000021,54.972243,-1.599497,E00175583,E01033548,E02007100
NE1 2NE,E08000021,54.970865,-1.603978,E00189930,E01033553,E02007100
NE1 2NG,E08000021,54.971301,-1.599991,E00175583,E01033548,E02007100
NE1 2NH,E08000021,54.970509,-1.602980,E00189930,E01033553,E02007100
NE1 2NP,E08000021,54.974867,-1.594657,E00175556,E01008406,E02007100
NE1 2NS,E08000021,54.974863,-1.596141,E00175556,E01008406,E02007100
NE1 2PA,E08000021,54.975316,-1.591265,E00175556,E01008406,E02007100
NE1 2PD,E08000021,54.971880,-1.592862,E00175560,E01033548,E02007100
NE1 2PE,E08000021,54.971640,-1.591161,E00175580,E01033548,E02007100
NE1 2PF,E08000021,54.972805,-1.590772,E00175560,E01033548,E02007100
NE1 2PL,E08000021,54.974474,-1.592054,E00175556,E01008406,E02007100
NE1 2PN,E08000021,54.974931,-1.591722,E00175556,E01008406,E02007100
NE1 2PQ,E08000021,54.974814,-1.592361,E00175556,E01008406,E02007100
NE1 2PW,E08000021,54.974942,-1.595096,E00175556,E01008406,E02007100
NE1 2PZ,E08000021,54.975478,-1.594588,E00042669,E01008406,E02007100
NE1 2QB,E08000021,54.974911,-1.593800,E00175556,E01008406,E02007100
NE1 2QE,E08000021,54.974480,-1.593788,E00042674,E01033548,E02007100
NE1 2QF,E08000021,54.974512,-1.595350,E00175556,E01008406,E02007100
NE1 2QG,E08000021,54.973865,-1.593355,E00042674,E01033548,E02007100
NE1 2QH,E08000021,54.973884,-1.595638,E00042674,E01033548,E02007100
NE1 2QJ,E08000021,54.973665,-1.594734,E00175588,E01008406,E02007100
NE1 2QL,E08000021,54.974041,-1.594246,E00175588,E01008406,E02007100
NE1 2QP,E08000021,54.973384,-1.593893,E00175588,E01008406,E02007100
NE1 2QR,E08000021,54.973137,-1.593440,E00042674,E01033548,E02007100
NE1 2QS,E08000021,54.973125,-1.594396,E00042674,E01033548,E02007100
NE1 2QT,E08000021,54.973127,-1.595177,E00042674,E01033548,E02007100
NE1 2QU,E08000021,54.973399,-1.595674,E00042674,E01033548,E02007100
NE1 2QX,E08000021,54.973724,-1.596171,E00042674,E01033548,E02007100
NE1 2ST,E08000021,54.974168,-1.602837,E00189962,E01033553,E02007100
NE1 2SU,E08000021,54.975615,-1.603695,E00042672,E01008407,E02007097
NE1 2SW,E08000021,54.974639,-1.601207,E00189996,E01008406,E02007100
NE1 2SZ,E08000021,54.974242,-1.604162,E00189962,E01033553,E02007100
NE1 2TE,E08000021,54.974210,-1.601883,E00189962,E01033553,E02007100
NE1 2TP,E08000021,54.973772,-1.597279,E00175556,E01008406,E02007100
NE1 2TQ,E08000021,54.974455,-1.597163,E00175556,E01008406,E02007100
NE1 2TY,E08000021,54.974943,-1.600626,E00189996,E01008406,E02007100
NE1 3AA,E08000021,54.966080,-1.617533,E00189977,E01033545,E02007099
NE1 3AB,E08000021,54.966439,-1.613706,E00189964,E01033545,E02007099
NE1 3AD,E08000021,54.965992,-1.614444,E00175552,E01033545,E02007099
NE1 3AE,E08000021,54.968994,-1.606915,E00175563,E01033548,E02007100
NE1 3AF,E08000021,54.968879,-1.607322,E00175551,E01033543,E02007099
NE1 3AG,E08000021,54.966708,-1.613563,E00189964,E01033545,E02007099
NE1 3AH,E08000021,54.966080,-1.617533,E00189977,E01033545,E02007099
NE1 3AJ,E08000021,54.965713,-1.617943,E00189977,E01033545,E02007099
NE1 3AN,E08000021,54.965713,-1.617943,E00189977,E01033545,E02007099
NE1 3AR,E08000021,54.965298,-1.617212,E00189947,E01033545,E02007099
NE1 3AS,E08000021,54.966561,-1.616076,E00189964,E01033545,E02007099
NE1 3AT,E08000021,54.967583,-1.612333,E00175552,E01033545,E02007099
NE1 3AZ,E08000021,54.967259,-1.614588,E00189964,E01033545,E02007099
NE1 3BB,E08000021,54.971397,-1.596319,E00175580,E01033548,E02007100
NE1 3BD,E08000021,54.971325,-1.596848,E00175580,E01033548,E02007100
NE1 3BE,E08000021,54.966826,-1.611809,E00175552,E01033545,E02007099
NE1 3BT,E08000021,54.967774,-1.624562,E00189974,E01033545,E02007099
NE1 3BZ,E08000021,54.967708,-1.620160,E00175576,E01033545,E02007099
NE1 3DE,E08000021,54.969265,-1.604554,E00175563,E01033548,E02007100
NE1 3DF,E08000021,54.969816,-1.605283,E00175563,E01033548,E02007100
NE1 3DH,E08000021,54.970210,-1.602373,E00175563,E01033548,E02007100
NE1 3DN,E08000021,54.970365,-1.602312,E00175563,E01033548,E02007100
NE1 3DQ,E08000021,54.969660,-1.604285,E00175563,E01033548,E02007100
NE1 3DU,E08000021,54.970128,-1.601221,E00175563,E01033548,E02007100
NE1 3DW,E08000021,54.970196,-1.602642,E00175563,E01033548,E02007100
NE1 3DX,E08000021,54.970984,-1.599307,E00175583,E01033548,E02007100
NE1 3DY,E08000021,54.971320,-1.597491,E00175583,E01033548,E02007100
NE1 3HA,E08000021,54.969947,-1.606268,E00189930,E01033553,E02007100
NE1 3HB,E08000021,54.969514,-1.605991,E00189930,E01033553,E02007100
NE1 3HD,E08000021,54.969486,-1.605460,E00175563,E01033548,E02007100
NE1 3HE,E08000021,54.969388,-1.605711,E00189930,E01033553,E02007100
NE1 3HF,E08000021,54.969947,-1.606268,E00189930,E01033553,E02007100
NE1 3JA,E08000021,54.969479,-1.608772,E00175551,E01033543,E02007099
NE1 3JE,E08000021,54.969190,-1.608416,E00175551,E01033543,E02007099
NE1 3JF,E08000021,54.968756,-1.608214,E00175551,E01033543,E02007099
NE1 3JL,E08000021,54.969128,-1.608697,E00175551,E01033543,E02007099
NE1 3LA,E08000021,54.969723,-1.603677,E00175563,E01033548,E02007100
NE1 3NG,E08000021,54.968366,-1.612141,E00175551,E01033543,E02007099
NE1 3NH,E08000021,54.967736,-1.611944,E00189964,E01033545,E02007099
NE1 3NN,E08000021,54.969248,-1.612429,E00189964,E01033545,E02007099
NE1 3NP,E08000021,54.968132,-1.612750,E00189964,E01033545,E02007099
NE1 3NY,E08000021,54.968166,-1.614111,E00189964,E01033545,E02007099
NE1 3NZ,E08000021,54.967664,-1.614741,E00189964,E01033545,E02007099
NE1 3PA,E08000021,54.965466,-1.616477,E00189947,E01033545,E02007099
NE1 3PD,E08000021,54.966575,-1.614842,E00189964,E01033545,E02007099
NE1 3PE,E08000021,54.967259,-1.615101,E00189964,E01033545,E02007099
NE1 3PG,E08000021,54.965775,-1.620441,E00189977,E01033545,E02007099
NE1 3PH,E08000021,54.966416,-1.618451,E00189977,E01033545,E02007099
NE1 3PJ,E08000021,54.967869,-1.614752,E00189964,E01033545,E02007099
NE1 3PL,E08000021,54.967862,-1.614739,E00189964,E01033545,E02007099
NE1 3PN,E08000021,54.965295,-1.615825,E00189947,E01033545,E02007099
NE1 3PZ,E08000021,54.967727,-1.624078,E00189974,E01033545,E02007099
NE1 3RE,E08000021,54.968301,-1.609296,E00175551,E01033543,E02007099
NE1 3RF,E08000021,54.967671,-1.611054,E00175552,E01033545,E02007099
NE1 3RG,E08000021,54.968318,-1.608330,E00175551,E01033543,E02007099
NE1 3RH,E08000021,54.965293,-1.615854,E00189947,E01033545,E02007099
NE1 3RJ,E08000021,54.967466,-1.611634,E00175552,E01033545,E02007099
NE1 3RN,E08000021,54.967344,-1.610214,E00175552,E01033545,E02007099
NE1 3RQ,E08000021,54.968056,-1.608611,E00175551,E01033543,E02007099
NE1 3RT,E08000021,54.966185,-1.612849,E00175552,E01033545,E02007099
NE1 3SA,E08000021,54.966961,-1.617634,E00189964,E01033545,E02007099
NE1 3SG,E08000021,54.966748,-1.618292,E00189964,E01033545,E02007099
NE1 3SP,E08000021,54.968445,-1.609263,E00175551,E01033543,E02007099
NE1 3SQ,E08000021,54.965213,-1.618994,E00189977,E01033545,E02007099
NE1 3UF,E08000021,54.969410,-1.607848,E00175551,E01033543,E02007099
NE1 3UG,E08000021,54.969300,-1.606928,E00175563,E01033548,E02007100
NE1 3UQ,E08000021,54.969533,-1.606288,E00175563,E01033548,E02007100
NE1 3XP,E08000021,54.969416,-1.606786,E00175563,E01033548,E02007100
NE1 4AD,E08000021,54.966348,-1.622716,E00189974,E01033545,E02007099
NE1 4AE,E08000021,54.970276,-1.619480,E00189986,E01035620,E02007102
NE1 4AF,E08000021,54.970566,-1.620055,E00189986,E01035620,E02007102
NE1 4AG,E08000021,54.970588,-1.621539,E00175587,E01035621,E02007102
NE1 4AL,E08000021,54.969419,-1.621347,E00189989,E01035621,E02007102
NE1 4AP,E08000021,54.969984,-1.620842,E00189989,E01035621,E02007102
NE1 4AQ,E08000021,54.970783,-1.621253,E00189986,E01035620,E02007102
NE1 4AT,E08000021,54.970213,-1.620212,E00189986,E01035620,E02007102
NE1 4AU,E08000021,54.969556,-1.622608,E00175576,E01033545,E02007099
NE1 4AW,E08000021,54.970262,-1.620683,E00189989,E01035621,E02007102
NE1 4AX,E08000021,54.970950,-1.622129,E00042822,E01035620,E02007102
NE1 4BA,E08000021,54.966770,-1.621965,E00189974,E01033545,E02007099
NE1 4BB,E08000021,54.966770,-1.621965,E00189974,E01033545,E02007099
NE1 4BD,E08000021,54.970542,-1.621149,E00175587,E01035621,E02007102
NE1 4BE,E08000021,54.966374,-1.621547,E00175576,E01033545,E02007099
NE1 4BF,E08000021,54.974093,-1.618757,E00189936,E01008397,E02007099
NE1 4BJ,E08000021,54.975704,-1.619460,E00190011,E01008397,E02007099
NE1 4BN,E08000021,54.967305,-1.624113,E00042807,E01008438,E02007104
NE1 4BP,E08000021,54.970041,-1.621685,E00175587,E01035621,E02007102
NE1 4BR,E08000021,54.970186,-1.622246,E00175576,E01033545,E02007099
NE1 4BU,E08000021,54.975704,-1.619460,E00190011,E01008397,E02007099
NE1 4BW,E08000021,54.967015,-1.623381,E00189974,E01033545,E02007099
NE1 4BX,E08000021,54.974712,-1.619201,E00190011,E01008397,E02007099
NE1 4DA,E08000021,54.976678,-1.617670,E00042609,E01035617,E02007099
NE1 4DB,E08000021,54.976353,-1.617345,E00190011,E01008397,E02007099
NE1 4DD,E08000021,54.976076,-1.617676,E00190011,E01008397,E02007099
NE1 4DE,E08000021,54.969847,-1.620903,E00189989,E01035621,E02007102
NE1 4DF,E08000021,54.968762,-1.621475,E00175576,E01033545,E02007099
NE1 4DG,E08000021,54.970134,-1.620728,E00189989,E01035621,E02007102
NE1 4DJ,E08000021,54.969364,-1.620770,E00042830,E01033545,E02007099
NE1 4DL,E08000021,54.972350,-1.621819,E00042826,E01033543,E02007099
NE1 4DN,E08000021,54.968965,-1.622679,E00175576,E01033545,E02007099
NE1 4DP,E08000021,54.968694,-1.622104,E00175576,E01033545,E02007099
NE1 4DQ,E08000021,54.969364,-1.620770,E00042830,E01033545,E02007099
NE1 4DR,E08000021,54.969373,-1.621501,E00189989,E01035621,E02007102
NE1 4DZ,E08000021,54.968694,-1.624931,E00042825,E01035621,E02007102
NE1 4EE,E08000021,54.967758,-1.622344,E00189974,E01033545,E02007099
NE1 4EG,E08000021,54.968593,-1.621292,E00175576,E01033545,E02007099
NE1 4EP,E08000021,54.967662,-1.620548,E00189974,E01033545,E02007099
NE1 4EQ,E08000021,54.968300,-1.622607,E00189974,E01033545,E02007099
NE1 4ES,E08000021,54.969004,-1.620773,E00175585,E01033545,E02007099
NE1 4EU,E08000021,54.968897,-1.621024,E00042830,E01033545,E02007099
NE1 4EX,E08000021,54.968680,-1.620682,E00175585,E01033545,E02007099
NE1 4HF,E08000021,54.967277,-1.622914,E00189974,E01033545,E02007099
NE1 4HP,E08000021,54.969103,-1.623631,E00189974,E01033545,E02007099
NE1 4HZ,E08000021,54.970172,-1.624196,E00042825,E01035621,E02007102
NE1 4JA,E08000021,54.969142,-1.624755,E00042825,E01035621,E02007102
NE1 4JD,E08000021,54.972816,-1.621424,E00042826,E01033543,E02007099
NE1 4JE,E08000021,54.972816,-1.621424,E00042826,E01033543,E02007099
NE1 4LB,E08000021,54.977615,-1.616253,E00189936,E01008397,E02007099
NE1 4LE,E08000021,54.977357,-1.617083,E00042609,E01035617,E02007099
NE1 4LF,E08000021,54.977415,-1.617819,E00042609,E01035617,E02007099
NE1 4LG,E08000021,54.977126,-1.617447,E00042609,E01035617,E02007099
NE1 4LN,E08000021,54.976585,-1.619436,E00042609,E01035617,E02007099
NE1 4LP,E08000021,54.980220,-1.618869,E00042609,E01035617,E02007099
NE1 4LQ,E08000021,54.977524,-1.618224,E00042609,E01035617,E02007099
NE1 4LS,E08000021,54.976297,-1.619314,E00042609,E01035617,E02007099
NE1 4LW,E08000021,54.976978,-1.618823,E00042609,E01035617,E02007099
NE1 4LY,E08000021,54.976443,-1.620982,E00042609,E01035617,E02007099
NE1 4LZ,E08000021,54.976912,-1.620761,E00042609,E01035617,E02007099
NE1 4NE,E08000021,54.975743,-1.620335,E00189936,E01008397,E02007099
NE1 4NF,E08000021,54.975389,-1.619914,E00189936,E01008397,E02007099
NE1 4NH,E08000021,54.975188,-1.619119,E00190011,E01008397,E02007099
NE1 4PA,E08000021,54.973210,-1.620796,E00042826,E01033543,E02007099
NE1 4PF,E08000021,54.974997,-1.617530,E00190011,E01008397,E02007099
NE1 4PG,E08000021,54.975941,-1.618315,E00190011,E01008397,E02007099
NE1 4PQ,E08000021,54.975531,-1.618821,E00189936,E01008397,E02007099
NE1 4PW,E08000021,54.974760,-1.617264,E00190011,E01008397,E02007099
NE1 4QT,E08000021,54.975193,-1.617588,E00190011,E01008397,E02007099
NE1 4RA,E08000021,54.974927,-1.618840,E00190011,E01008397,E02007099
NE1 4RB,E08000021,54.974936,-1.618840,E00190011,E01008397,E02007099
NE1 4RD,E08000021,54.974936,-1.618856,E00190011,E01008397,E02007099
NE1 4RE,E08000021,54.974936,-1.618840,E00190011,E01008397,E02007099
NE1 4RF,E08000021,54.974936,-1.618840,E00190011,E01008397,E02007099
NE1 4RG,E08000021,54.974936,-1.618840,E00190011,E01008397,E02007099
NE1 4RH,E08000021,54.974936,-1.618840,E00190011,E01008397,E02007099
NE1 4SD,E08000021,54.973534,-1.621728,E00190004,E01035620,E02007102
NE1 4SE,E08000021,54.974049,-1.622582,E00190004,E01035620,E02007102
NE1 4SF,E08000021,54.975152,-1.619041,E00190011,E01008397,E02007099
NE1 4SG,E08000021,54.973938,-1.618133,E00175553,E01033543,E02007099
NE1 4SH,E08000021,54.973970,-1.622398,E00190004,E01035620,E02007102
NE1 4SL,E08000021,54.973970,-1.622382,E00190004,E01035620,E02007102
NE1 4SN,E08000021,54.974226,-1.618115,E00189936,E01008397,E02007099
NE1 4SP,E08000021,54.974252,-1.617927,E00189936,E01008397,E02007099
NE1 4SR,E08000021,54.974093,-1.618757,E00189936,E01008397,E02007099
NE1 4ST,E08000021,54.975219,-1.622324,E00189936,E01008397,E02007099
NE1 4TD,E08000021,54.973988,-1.619523,E00189936,E01008397,E02007099
NE1 4WH,E08000021,54.973210,-1.620796,E00042826,E01033543,E02007099
NE1 4XA,E08000021,54.971424,-1.619326,E00042826,E01033543,E02007099
NE1 4XB,E08000021,54.971519,-1.620312,E00042822,E01035620,E02007102
NE1 4XD,E08000021,54.972227,-1.619665,E00042826,E01033543,E02007099
NE1 4XE,E08000021,54.970661,-1.619521,E00189986,E01035620,E02007102
NE1 4XF,E08000021,54.971291,-1.619905,E00189986,E01035620,E02007102
NE1 4XH,E08000021,54.971346,-1.619564,E00042826,E01033543,E02007099
NE1 4XN,E08000021,54.971804,-1.619388,E00042826,E01033543,E02007099
NE1 4XQ,E08000021,54.972595,-1.620143,E00042826,E01033543,E02007099
NE1 4XX,E08000021,54.970226,-1.617762,E00175553,E01033543,E02007099
NE1 4YB,E08000021,54.972228,-1.620133,E00042826,E01033543,E02007099
NE1 5AB,E08000021,54.971276,-1.617331,E00042826,E01033543,E02007099
NE1 5AE,E08000021,54.972695,-1.614318,E00175558,E01033543,E02007099
NE1 5AF,E08000021,54.973229,-1.613388,E00175551,E01033543,E02007099
NE1 5AG,E08000021,54.972364,-1.615318,E00175558,E01033543,E02007099
NE1 5AN,E08000021,54.973298,-1.614593,E00175553,E01033543,E02007099
NE1 5AQ,E08000021,54.972049,-1.615290,E00175558,E01033543,E02007099
NE1 5AR,E08000021,54.970923,-1.617300,E00175553,E01033543,E02007099
NE1 5AS,E08000021,54.971122,-1.617626,E00175553,E01033543,E02007099
NE1 5AT,E08000021,54.971260,-1.615860,E00175553,E01033543,E02007099
NE1 5AU,E08000021,54.974099,-1.611977,E00175553,E01033543,E02007099
NE1 5AW,E08000021,54.973465,-1.614042,E00175553,E01033543,E02007099
NE1 5AX,E08000021,54.971260,-1.615860,E00175553,E01033543,E02007099
NE1 5AY,E08000021,54.972917,-1.614157,E00175558,E01033543,E02007099
NE1 5BE,E08000021,54.973966,-1.612525,E00175553,E01033543,E02007099
NE1 5BP,E08000021,54.973132,-1.613142,E00175551,E01033543,E02007099
NE1 5BQ,E08000021,54.973363,-1.613184,E00175551,E01033543,E02007099
NE1 5BS,E08000021,54.973966,-1.612525,E00175553,E01033543,E02007099
NE1 5BT,E08000021,54.969989,-1.619686,E00189986,E01035620,E02007102
NE1 5BU,E08000021,54.969855,-1.619672,E00189986,E01035620,E02007102
NE1 5BW,E08000021,54.970115,-1.619685,E00189986,E01035620,E02007102
NE1 5BX,E08000021,54.969756,-1.619672,E00189986,E01035620,E02007102
NE1 5BY,E08000021,54.969603,-1.619768,E00189986,E01035620,E02007102
NE1 5BZ,E08000021,54.969469,-1.619831,E00175585,E01033545,E02007099
NE1 5DB,E08000021,54.969096,-1.615774,E00189983,E01033545,E02007099
NE1 5DF,E08000021,54.969325,-1.617596,E00175585,E01033545,E02007099
NE1 5DG,E08000021,54.968973,-1.616540,E00189983,E01033545,E02007099
NE1 5DH,E08000021,54.969131,-1.615289,E00189983,E01033545,E02007099
NE1 5DL,E08000021,54.968856,-1.617163,E00175585,E01033545,E02007099
NE1 5DP,E08000021,54.968288,-1.619324,E00175576,E01033545,E02007099
NE1 5DQ,E08000021,54.969719,-1.616642,E00189983,E01033545,E02007099
NE1 5DW,E08000021,54.969645,-1.618643,E00175585,E01033545,E02007099
NE1 5DY,E08000021,54.970259,-1.619793,E00189986,E01035620,E02007102
NE1 5DZ,E08000021,54.969146,-1.620116,E00175585,E01033545,E02007099
NE1 5EE,E08000021,54.969637,-1.619158,E00175585,E01033545,E02007099
NE1 5EF,E08000021,54.969508,-1.618875,E00175585,E01033545,E02007099
NE1 5EJ,E08000021,54.969356,-1.618411,E00175585,E01033545,E02007099
NE1 5EN,E08000021,54.969535,-1.615860,E00189983,E01033545,E02007099
NE1 5EW,E08000021,54.969760,-1.616155,E00189983,E01033545,E02007099
NE1 5HH,E08000021,54.968936,-1.619709,E00175585,E01033545,E02007099
NE1 5HL,E08000021,54.968787,-1.617448,E00175585,E01033545,E02007099
NE1 5HX,E08000021,54.969713,-1.618186,E00175585,E01033545,E02007099
NE1 5JE,E08000021,54.970856,-1.615895,E00175553,E01033543,E02007099
NE1 5JF,E08000021,54.971683,-1.615249,E00175553,E01033543,E02007099
NE1 5JG,E08000021,54.970943,-1.615128,E00175558,E01033543,E02007099
NE1 5JQ,E08000021,54.971831,-1.614464,E00175558,E01033543,E02007099
NE1 5PE,E08000021,54.972522,-1.616319,E00175553,E01033543,E02007099
NE1 5PF,E08000021,54.971633,-1.617356,E00042826,E01033543,E02007099
NE1 5PG,E08000021,54.971053,-1.618423,E00042826,E01033543,E02007099
NE1 5PN,E08000021,54.972877,-1.615548,E00175558,E01033543,E02007099
NE1 5PU,E08000021,54.973149,-1.615797,E00175553,E01033543,E02007099
NE1 5PW,E08000021,54.972117,-1.616245,E00175553,E01033543,E02007099
NE1 5PY,E08000021,54.971446,-1.617126,E00042826,E01033543,E02007099
